timedelta,P,Q
0,0,0
300,0,0
600,0,0
900,0,0
1200,0,0
1500,0,0
1800,0,0
2100,0,0
2400,0,0
2700,0,0
3000,0,0
3300,0,0
3600,0,0
3900,0,0
4200,0,0
4500,0,0
4800,0,0
5100,0,0
5400,0,0
5700,0,0
6000,0,0
6300,0,0
6600,0,0
6900,0,0
7200,0,0
7500,0,0
7800,0,0
8100,0,0
8400,0,0
8700,0,0
9000,0,0
9300,0,0
9600,0,0
9900,0,0
10200,0,0
10500,0,0
10800,0,0
11100,0,0
11400,0,0
11700,0,0
12000,0,0
12300,0,0
12600,0,0
12900,0,0
13200,0,0
13500,0,0
13800,0,0
14100,0,0
14400,0,0
14700,-2.88750457763672,-0.288750457763672
15000,-5.71564388275146,-0.571564388275146
15300,-8.51178359985352,-0.851178359985352
15600,-11.2915325164795,-1.12915325164795
15900,-14.0630502700806,-1.40630502700806
16200,-16.8303527832031,-1.68303527832031
16500,-19.5952949523926,-1.95952949523926
16800,-22.3586292266846,-2.23586292266846
17100,-25.120569229126,-2.5120569229126
17400,-27.8810577392578,-2.78810577392578
17700,-30.6399269104004,-3.06399269104004
18000,-33.3969573974609,-3.33969573974609
18300,-38.7899856567383,-3.87899856567383
18600,-44.1579551696777,-4.41579551696777
18900,-49.5046463012695,-4.95046463012695
19200,-54.8328132629395,-5.48328132629395
19500,-60.144474029541,-6.0144474029541
19800,-65.4411239624023,-6.54411239624023
20100,-70.8388824462891,-7.08388824462891
20400,-76.3233871459961,-7.63233871459961
20700,-81.8535232543945,-8.18535232543945
21000,-87.4290390014648,-8.74290390014648
21300,-93.0495071411133,-9.30495071411133
21600,-98.7144317626953,-9.87144317626953
21900,-109.429534912109,-10.9429534912109
22200,-120.208030700684,-12.0208030700684
22500,-131.055465698242,-13.1055465698242
22800,-141.975387573242,-14.1975387573242
23100,-152.969833374023,-15.2969833374023
23400,-164.039733886719,-16.4039733886719
23700,-175.185241699219,-17.5185241699219
24000,-186.405899047852,-18.6405899047852
24300,-197.700820922852,-19.7700820922852
24600,-209.068756103516,-20.9068756103516
24900,-220.508285522461,-22.0508285522461
25200,-232.01774597168,-23.201774597168
25500,-245.938186645508,-24.5938186645508
25800,-259.943603515625,-25.9943603515625
26100,-274.032318115234,-27.4032318115234
26400,-288.202392578125,-28.8202392578125
26700,-302.451721191406,-30.2451721191406
27000,-316.778137207031,-31.6778137207031
27300,-331.179260253906,-33.1179260253906
27600,-345.652740478516,-34.5652740478516
27900,-360.196014404297,-36.0196014404297
28200,-374.806640625,-37.4806640625
28500,-389.482055664062,-38.9482055664062
28800,-404.219635009766,-40.4219635009766
29100,-419.664947509766,-41.9664947509766
29400,-435.184448242188,-43.5184448242188
29700,-450.774932861328,-45.0774932861328
30000,-466.433258056641,-46.6433258056641
30300,-482.156219482422,-48.2156219482422
30600,-497.940643310547,-49.7940643310547
30900,-513.783264160156,-51.3783264160156
31200,-529.680786132812,-52.9680786132812
31500,-558.451354980469,-55.8451354980469
31800,-575.170471191406,-57.5170471191406
32100,-591.947448730469,-59.1947448730469
32400,-608.778198242188,-60.8778198242188
32700,-616.810913085938,-61.6810913085938
33000,-624.763793945312,-62.4763793945312
33300,-632.638244628906,-63.2638244628906
33600,-640.435729980469,-64.0435729980469
33900,-648.157531738281,-64.8157531738281
34200,-655.805053710938,-65.5805053710938
34500,-663.379760742188,-66.3379760742188
34800,-670.882995605469,-67.0882995605469
35100,-657.773986816406,-65.7773986816406
35400,-664.517883300781,-66.4517883300781
35700,-671.194519042969,-67.1194519042969
36000,-677.805847167969,-67.7805847167969
36300,-686.990844726562,-68.6990844726562
36600,-696.159851074219,-69.6159851074219
36900,-705.311767578125,-70.5311767578125
37200,-714.445556640625,-71.4445556640625
37500,-723.560119628906,-72.3560119628906
37800,-732.654357910156,-73.2654357910156
38100,-768.430847167969,-76.8430847167969
38400,-778.078063964844,-77.8078063964844
38700,-787.695068359375,-78.7695068359375
39000,-797.280090332031,-79.7280090332031
39300,-806.8310546875,-80.68310546875
39600,-816.346130371094,-81.6346130371094
39900,-832.648315429688,-83.2648315429688
40200,-848.947082519531,-84.8947082519531
40500,-865.232727050781,-86.5232727050781
40800,-881.495788574219,-88.1495788574219
41100,-897.726745605469,-89.7726745605469
41400,-913.916137695312,-91.3916137695312
41700,-930.054565429688,-93.0054565429688
42000,-946.132629394531,-94.6132629394531
42300,-962.141052246094,-96.2141052246094
42600,-978.07080078125,-97.807080078125
42900,-993.912719726562,-99.3912719726562
43200,-1009.65789794922,-100.965789794922
43500,-1010.34210205078,-101.034210205078
43800,-1010.93688964844,-101.093688964844
44100,-1011.44219970703,-101.144219970703
44400,-1011.85797119141,-101.185797119141
44700,-1012.18432617188,-101.218432617188
45000,-1012.42144775391,-101.242144775391
45300,-1012.56964111328,-101.256964111328
45600,-1012.62921142578,-101.262921142578
45900,-1012.60052490234,-101.260052490234
46200,-1012.48406982422,-101.248406982422
46500,-1012.2802734375,-101.22802734375
46800,-1011.98980712891,-101.198980712891
47100,-1010.35864257812,-101.035864257812
47400,-1008.62963867188,-100.862963867188
47700,-1006.80157470703,-100.680157470703
48000,-1004.87341308594,-100.487341308594
48300,-1002.84405517578,-100.284405517578
48600,-1000.71234130859,-100.071234130859
48900,-998.477233886719,-99.8477233886719
49200,-996.137573242188,-99.6137573242188
49500,-993.692321777344,-99.3692321777344
49800,-991.140258789062,-99.1140258789062
50100,-988.480163574219,-98.8480163574219
50400,-985.710876464844,-98.5710876464844
50700,-976.820678710938,-97.6820678710938
51000,-967.858032226562,-96.7858032226562
51300,-958.824096679688,-95.8824096679688
51600,-949.719787597656,-94.9719787597656
51900,-940.546020507812,-94.0546020507812
52200,-931.3037109375,-93.13037109375
52500,-921.99365234375,-92.199365234375
52800,-912.616516113281,-91.2616516113281
53100,-903.172973632812,-90.3172973632812
53400,-893.66357421875,-89.366357421875
