timestamp,Load R1_P,Load R1_Q,Load R11_P,Load R11_Q,Load R15_P,Load R15_Q,Load R16_P,Load R16_Q,Load R17_P,Load R17_Q,Load R18_P,Load R18_Q,Load I2_P,Load I2_Q,Load C1_P,Load C1_Q,Load C12_P,Load C12_Q,Load C13_P,Load C13_Q,Load C14_P,Load C14_Q,Load C17_P,Load C17_Q,Load C18_P,Load C18_Q,Load C19_P,Load C19_Q,Load C20_P,Load C20_Q,PV_Load R1_P,PV_Load R1_Q,PV_Load R11_P,PV_Load R11_Q,PV_Load R15_P,PV_Load R15_Q,PV_Load R16_P,PV_Load R16_Q,PV_Load R17_P,PV_Load R17_Q,PV_Load R18_P,PV_Load R18_Q,PV_Load I2_P,PV_Load I2_Q,PV_Load C1_P,PV_Load C1_Q,PV_Load C12_P,PV_Load C12_Q,PV_Load C13_P,PV_Load C13_Q,PV_Load C14_P,PV_Load C14_Q,PV_Load C17_P,PV_Load C17_Q,PV_Load C18_P,PV_Load C18_Q,PV_Load C19_P,PV_Load C19_Q,PV_Load C20_P,PV_Load C20_Q
0,0.15630538030764868,0.06125894812886547,0.3602825745682888,0.14120135534536624,0.2720087815587267,0.10660523526000817,0.07692794732176778,0.03014947486368557,0.1263712154453708,0.04952719936263662,0.7060491493383743,0.2767136238728217,0.2406219151036525,0.09430414606963862,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.18601512318074637,0.07290274179740601,0.1696367374914325,0.06648375175751463,1.074836867862969,0.4212483012792865,0.10018120631633444,0.039262853966641045,0.17603249830737985,0.06899036784006785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,0.3936343659176295,0.154272534675551,0.3602825745682888,0.14120135534536624,1.9396267837541163,0.7601753458613173,0.07692794732176778,0.03014947486368557,0.1263712154453708,0.04952719936263662,1.2258034026465028,0.4804148578322122,0.2406219151036525,0.09430414606963862,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,1.104382470119522,0.43282776522677097,0.1696367374914325,0.06648375175751463,0.24622756933115825,0.09650110487473694,0.10018120631633444,0.039262853966641045,0.17603249830737985,0.06899036784006785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,0.7049691642447012,0.276290357887332,0.3602825745682888,0.14120135534536624,1.0241492864983535,0.4013829075770283,0.07692794732176778,0.03014947486368557,0.1263712154453708,0.04952719936263662,1.2121928166351605,0.47508061929972406,0.21100691016781836,0.0826974819379908,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,1.5507602244084884,0.607771402112757,0.1696367374914325,0.06648375175751463,0.17098287112561172,0.06701132624220862,0.10018120631633444,0.039262853966641045,0.17603249830737985,0.06899036784006785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,0.7815269015382434,0.3062947406443273,0.3602825745682888,0.14120135534536624,1.3666300768386388,0.5356074168632371,0.07692794732176778,0.03014947486368557,0.1263712154453708,0.04952719936263662,1.1101134215500945,0.4350738303060631,4.904985192497532,1.922353746804172,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.27733962110740706,0.10869448914719465,0.1696367374914325,0.06648375175751463,0.24316884176182707,0.09530233338560977,0.10018120631633444,0.039262853966641045,0.17603249830737985,0.06899036784006785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,0.7815269015382434,0.3062947406443273,0.3602825745682888,0.14120135534536624,1.4166849615806807,0.5552248451435292,0.07692794732176778,0.03014947486368557,0.1263712154453708,0.04952719936263662,1.1101134215500945,0.4350738303060631,1.2179170779861794,0.477324062414017,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.2872916497276201,0.11259487187121009,0.1696367374914325,0.06648375175751463,0.24316884176182707,0.09530233338560977,0.10018120631633444,0.039262853966641045,0.17603249830737985,0.06899036784006785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,0.7815269015382434,0.3062947406443273,0.3602825745682888,0.14120135534536624,1.129527991218441,0.4426827565881694,0.07692794732176778,0.03014947486368557,0.1263712154453708,0.04952719936263662,2.2159735349716447,0.8684807110707238,1.2179170779861794,0.477324062414017,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.3783234409301569,0.1482719020820571,0.1696367374914325,0.06648375175751463,0.24316884176182707,0.09530233338560977,0.10018120631633444,0.039262853966641045,0.17603249830737985,0.06899036784006785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,0.8325653930672716,0.3262976624823242,0.3602825745682888,0.14120135534536624,1.2612513721185508,0.49430756785209584,0.07692794732176778,0.03014947486368557,0.1263712154453708,0.04952719936263662,5.950378071833649,2.332062408422155,0.3590819348469891,0.14073080259622994,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.18733230343930402,0.07341896892264337,0.1696367374914325,0.06648375175751463,0.06270391517128873,0.024574815527106917,0.47900595392182244,0.1877312273381721,0.17603249830737985,0.06899036784006785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,0.7859927695470333,0.30804499630515203,0.3602825745682888,0.14120135534536624,1.2763995609220635,0.5002444211474475,0.07692794732176778,0.03014947486368557,0.1263712154453708,0.04952719936263662,4.4319470699432895,1.7369614221414476,5.173000987166831,2.027394057195585,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.15791527766485078,0.06188989645900951,0.1696367374914325,0.06648375175751463,0.06270391517128873,0.024574815527106917,0.7921304685477608,0.3104504732246037,0.17603249830737985,0.06899036784006785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,1.0080102076983057,0.3950577063004385,0.3602825745682888,0.14120135534536624,2.345993413830955,0.9194378886105303,0.07692794732176778,0.03014947486368557,0.42650285212812644,0.1671542978488986,2.632797731568998,1.0318417661281727,1.2253208292201383,0.48022572844692907,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.04024717456703797,0.015773606604474157,0.1696367374914325,0.06648375175751463,0.06270391517128873,0.024574815527106917,0.7921304685477608,0.3104504732246037,0.20311442112389982,0.07960427058469367,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,1.0462890763450767,0.41005989767893614,0.3602825745682888,0.14120135534536624,1.6136114160263446,0.6324039379830992,0.07692794732176778,0.03014947486368557,0.8767003071522598,0.3435949455782915,2.164933837429112,0.8484773165738934,1.2697433366238893,0.4976357246444007,0.07841115180825717,0.03073076993186249,0.2468614832788269,0.0967495473887564,0.09927443867045788,0.038907475079015076,0.04024717456703797,0.015773606604474157,0.1696367374914325,0.06648375175751463,0.06270391517128873,0.024574815527106917,0.7921304685477608,0.3104504732246037,0.46716316858496953,0.18308982234479543,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
